CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Clusters,clusters
1,Male,19,15,39,3,NotUseful
2,Male,21,15,81,0,Careless
3,Female,20,16,6,3,NotUseful
4,Female,23,16,77,0,Careless
5,Female,31,17,40,3,NotUseful
6,Female,22,17,76,0,Careless
7,Female,35,18,6,3,NotUseful
8,Female,23,18,94,0,Careless
9,Male,64,19,3,3,NotUseful
10,Female,30,19,72,0,Careless
11,Male,67,19,14,3,NotUseful
12,Female,35,19,99,0,Careless
13,Female,58,20,15,3,NotUseful
14,Female,24,20,77,0,Careless
15,Male,37,20,13,3,NotUseful
16,Male,22,20,79,0,Careless
17,Female,35,21,35,3,NotUseful
18,Male,20,21,66,0,Careless
19,Male,52,23,29,3,NotUseful
20,Female,35,23,98,0,Careless
21,Male,35,24,35,3,NotUseful
22,Male,25,24,73,0,Careless
23,Female,46,25,5,3,NotUseful
24,Male,31,25,73,0,Careless
25,Female,54,28,14,3,NotUseful
26,Male,29,28,82,0,Careless
27,Female,45,28,32,3,NotUseful
28,Male,35,28,61,0,Careless
29,Female,40,29,31,3,NotUseful
30,Female,23,29,87,0,Careless
31,Male,60,30,4,3,NotUseful
32,Female,21,30,73,0,Careless
33,Male,53,33,4,3,NotUseful
34,Male,18,33,92,0,Careless
35,Female,49,33,14,3,NotUseful
36,Female,21,33,81,0,Careless
37,Female,42,34,17,3,NotUseful
38,Female,30,34,73,0,Careless
39,Female,36,37,26,3,NotUseful
40,Female,20,37,75,0,Careless
41,Female,65,38,35,3,NotUseful
42,Male,24,38,92,0,Careless
43,Male,48,39,36,3,NotUseful
44,Female,31,39,61,1,Sensible
45,Female,49,39,28,3,NotUseful
46,Female,24,39,65,0,Careless
47,Female,50,40,55,1,Sensible
48,Female,27,40,47,1,Sensible
49,Female,29,40,42,1,Sensible
50,Female,31,40,42,1,Sensible
51,Female,49,42,52,1,Sensible
52,Male,33,42,60,1,Sensible
53,Female,31,43,54,1,Sensible
54,Male,59,43,60,1,Sensible
55,Female,50,43,45,1,Sensible
56,Male,47,43,41,1,Sensible
57,Female,51,44,50,1,Sensible
58,Male,69,44,46,1,Sensible
59,Female,27,46,51,1,Sensible
60,Male,53,46,46,1,Sensible
61,Male,70,46,56,1,Sensible
62,Male,19,46,55,1,Sensible
63,Female,67,47,52,1,Sensible
64,Female,54,47,59,1,Sensible
65,Male,63,48,51,1,Sensible
66,Male,18,48,59,1,Sensible
67,Female,43,48,50,1,Sensible
68,Female,68,48,48,1,Sensible
69,Male,19,48,59,1,Sensible
70,Female,32,48,47,1,Sensible
71,Male,70,49,55,1,Sensible
72,Female,47,49,42,1,Sensible
73,Female,60,50,49,1,Sensible
74,Female,60,50,56,1,Sensible
75,Male,59,54,47,1,Sensible
76,Male,26,54,54,1,Sensible
77,Female,45,54,53,1,Sensible
78,Male,40,54,48,1,Sensible
79,Female,23,54,52,1,Sensible
80,Female,49,54,42,1,Sensible
81,Male,57,54,51,1,Sensible
82,Male,38,54,55,1,Sensible
83,Male,67,54,41,1,Sensible
84,Female,46,54,44,1,Sensible
85,Female,21,54,57,1,Sensible
86,Male,48,54,46,1,Sensible
87,Female,55,57,58,1,Sensible
88,Female,22,57,55,1,Sensible
89,Female,34,58,60,1,Sensible
90,Female,50,58,46,1,Sensible
91,Female,68,59,55,1,Sensible
92,Male,18,59,41,1,Sensible
93,Male,48,60,49,1,Sensible
94,Female,40,60,40,1,Sensible
95,Female,32,60,42,1,Sensible
96,Male,24,60,52,1,Sensible
97,Female,47,60,47,1,Sensible
98,Female,27,60,50,1,Sensible
99,Male,48,61,42,1,Sensible
100,Male,20,61,49,1,Sensible
101,Female,23,62,41,1,Sensible
102,Female,49,62,48,1,Sensible
103,Male,67,62,59,1,Sensible
104,Male,26,62,55,1,Sensible
105,Male,49,62,56,1,Sensible
106,Female,21,62,42,1,Sensible
107,Female,66,63,50,1,Sensible
108,Male,54,63,46,1,Sensible
109,Male,68,63,43,1,Sensible
110,Male,66,63,48,1,Sensible
111,Male,65,63,52,1,Sensible
112,Female,19,63,54,1,Sensible
113,Female,38,64,42,1,Sensible
114,Male,19,64,46,1,Sensible
115,Female,18,65,48,1,Sensible
116,Female,19,65,50,1,Sensible
117,Female,63,65,43,1,Sensible
118,Female,49,65,59,1,Sensible
119,Female,51,67,43,1,Sensible
120,Female,50,67,57,1,Sensible
121,Male,27,67,56,1,Sensible
122,Female,38,67,40,1,Sensible
123,Female,40,69,58,1,Sensible
124,Male,39,69,91,2,Target
125,Female,23,70,29,4,Carful
126,Female,31,70,77,2,Target
127,Male,43,71,35,1,Sensible
128,Male,40,71,95,2,Target
129,Male,59,71,11,4,Carful
130,Male,38,71,75,2,Target
131,Male,47,71,9,4,Carful
132,Male,39,71,75,2,Target
133,Female,25,72,34,1,Sensible
134,Female,31,72,71,2,Target
135,Male,20,73,5,4,Carful
136,Female,29,73,88,2,Target
137,Female,44,73,7,4,Carful
138,Male,32,73,73,2,Target
139,Male,19,74,10,4,Carful
140,Female,35,74,72,2,Target
141,Female,57,75,5,4,Carful
142,Male,32,75,93,2,Target
143,Female,28,76,40,1,Sensible
144,Female,32,76,87,2,Target
145,Male,25,77,12,4,Carful
146,Male,28,77,97,2,Target
147,Male,48,77,36,4,Carful
148,Female,32,77,74,2,Target
149,Female,34,78,22,4,Carful
150,Male,34,78,90,2,Target
151,Male,43,78,17,4,Carful
152,Male,39,78,88,2,Target
153,Female,44,78,20,4,Carful
154,Female,38,78,76,2,Target
155,Female,47,78,16,4,Carful
156,Female,27,78,89,2,Target
157,Male,37,78,1,4,Carful
158,Female,30,78,78,2,Target
159,Male,34,78,1,4,Carful
160,Female,30,78,73,2,Target
161,Female,56,79,35,4,Carful
162,Female,29,79,83,2,Target
163,Male,19,81,5,4,Carful
164,Female,31,81,93,2,Target
165,Male,50,85,26,4,Carful
166,Female,36,85,75,2,Target
167,Male,42,86,20,4,Carful
168,Female,33,86,95,2,Target
169,Female,36,87,27,4,Carful
170,Male,32,87,63,2,Target
171,Male,40,87,13,4,Carful
172,Male,28,87,75,2,Target
173,Male,36,87,10,4,Carful
174,Male,36,87,92,2,Target
175,Female,52,88,13,4,Carful
176,Female,30,88,86,2,Target
177,Male,58,88,15,4,Carful
178,Male,27,88,69,2,Target
179,Male,59,93,14,4,Carful
180,Male,35,93,90,2,Target
181,Female,37,97,32,4,Carful
182,Female,32,97,86,2,Target
183,Male,46,98,15,4,Carful
184,Female,29,98,88,2,Target
185,Female,41,99,39,4,Carful
186,Male,30,99,97,2,Target
187,Female,54,101,24,4,Carful
188,Male,28,101,68,2,Target
189,Female,41,103,17,4,Carful
190,Female,36,103,85,2,Target
191,Female,34,103,23,4,Carful
192,Female,32,103,69,2,Target
193,Male,33,113,8,4,Carful
194,Female,38,113,91,2,Target
195,Female,47,120,16,4,Carful
196,Female,35,120,79,2,Target
197,Female,45,126,28,4,Carful
198,Male,32,126,74,2,Target
199,Male,32,137,18,4,Carful
200,Male,30,137,83,2,Target
